name,slug,image
Win Shooter,gamomat-win-shooter,gamomat-win-shooter.jpg
Clover Craze,redtiger-clover-craze,redtiger-clover-craze.jpg
Egypt Clusterbuster,redtiger-egypt-clusterbuster,redtiger-egypt-clusterbuster.jpg
Sugarlicious EveryWay,redtiger-sugarlicious-everyway,redtiger-sugarlicious-everyway.jpg
Reptizillions Power Reels,redtiger-reptizillions-power-reels,redtiger-reptizillions-power-reels.jpg
Atlantic Wilds,gamomat-atlantic-wilds,gamomat-atlantic-wilds.jpg
Jungle Spirit Megaways,netent-jungle-spirit-megaways,netent-jungle-spirit-megaways.jpg
Ryse of the Mighty Gods,onetouch-ryse-of-the-mighty-gods,onetouch-ryse-of-the-mighty-gods.jpg
Queen Of Hearts Deluxe,novomatic-queen-of-hearts-deluxe,novomatic-queen-of-hearts-deluxe.jpg
Rainforest Gold,netent-rainforest-gold,netent-rainforest-gold.jpg
Royal Seven XXL,gamomat-royal-seven-xxl,gamomat-royal-seven-xxl.jpg
Book of Romeo and Julia,gamomat-book-of-romeo-and-julia,gamomat-book-of-romeo-and-julia.jpg
Epic Treasure 2,redtiger-epic-treasure-2,redtiger-epic-treasure-2.jpg
Twin Spin XXXtreme,netent-twin-spin-xxxtreme,netent-twin-spin-xxxtreme.jpg
Twin Spin,netent-twin-spin,netent-twin-spin.jpg
Legends Cup,onetouch-legends-cup,onetouch-legends-cup.jpg
Hotline 2,netent-hotline-2,netent-hotline-2.jpg
Ultra Hotfire,novomatic-ultra-hotfire,novomatic-ultra-hotfire.jpg
What the Fox! Megaways,redtiger-what-the-fox-megaways,redtiger-what-the-fox-megaways.jpg
Dragon's Fire Infinireels,redtiger-dragons-fire-infinireels,redtiger-dragons-fire-infinireels.jpg
Pharao's Riches,gamomat-pharaos-riches,gamomat-pharaos-riches.jpg
Golden Realms,netent-golden-realms,netent-golden-realms.jpg
Cutie Cat,gamomat-cutie-cat,gamomat-cutie-cat.jpg
Book Hotfire,novomatic-book-hotfire,novomatic-book-hotfire.jpg
Lucky Lion,onetouch-lucky-lion,onetouch-lucky-lion.jpg
Dragon's Mirror,redtiger-dragons-mirror,redtiger-dragons-mirror.jpg
Wild Waves Megaways,onetouch-wild-waves-megaways,onetouch-wild-waves-megaways.jpg
Books and Bounties,gamomat-books-and-bounties,gamomat-books-and-bounties.jpg
Emperor of India,redtiger-emperor-of-india,redtiger-emperor-of-india.jpg
Million Dollar Heist,novomatic-million-dollar-heist,novomatic-million-dollar-heist.jpg
Steam Squad,redtiger-steam-squad,redtiger-steam-squad.jpg
Hansel & Gretel Candyhouse,redtiger-hansel-and-gretel-candyhouse,redtiger-hansel-and-gretel-candyhouse.jpg
Leprechaun Joy,netent-leprechaun-joy,netent-leprechaun-joy.jpg
40 Mega Hotfire,novomatic-40-mega-hotfire,novomatic-40-mega-hotfire.jpg
Hell's Kitche,netent-hells-kitchen,netent-hells-kitchen.jpg
Moon Spell,redtiger-moon-spell,redtiger-moon-spell.jpg
Gem Crush,netent-gem-crush,netent-gem-crush.jpg
Pandora’s Treasure,netent-pandoras-treasure,netent-pandoras-treasure.jpg
Astros,redtiger-astros,redtiger-astros.jpg
Book of Oasis,gamomat-book-of-oasis,gamomat-book-of-oasis.jpg
Rabid Randy,netent-rabid-randy,netent-rabid-randy.jpg
Fruit Flash,redtiger-fruit-flash,redtiger-fruit-flash.jpg
Gifts Of Horus,onetouch-gifts-of-horus,onetouch-gifts-of-horus.jpg
Sea Boat Adventure,redtiger-sea-boat-adventure,redtiger-sea-boat-adventure.jpg
Zillard King,redtiger-zillard-king,redtiger-zillard-king.jpg
Christmas Morning,redtiger-christmas-morning,redtiger-christmas-morning.jpg
Ramses Book Christmas Edition,gamomat-ramses-book-christmas-edition,gamomat-ramses-book-christmas-edition.jpg
Jack Hammer 3: Diamond Affair,netent-jack-hammer-3-diamond-affair,netent-jack-hammer-3-diamond-affair.jpg
Black Beauty,gamomat-black-beauty,gamomat-black-beauty.jpg
The Wish Master,netent-the-wish-master,netent-the-wish-master.jpg
Steam Vault,onetouch-steam-vault,onetouch-steam-vault.jpg
Don’t Eat the Candy,netent-dont-eat-the-candy,netent-dont-eat-the-candy.jpg
Cursed Treasure,netent-cursed-treasure,netent-cursed-treasure.jpg
Book of Elements,gamomat-book-of-elements,gamomat-book-of-elements.jpg
Bounty Raid 2,redtiger-bounty-raid-2,redtiger-bounty-raid-2.jpg
Bounty Raid,redtiger-bounty-raid,redtiger-bounty-raid.jpg
Taco Fury XXXtreme,netent-taco-fury-xxxtreme,netent-taco-fury-xxxtreme.jpg
Jingle Bells Bonanza,netent-jingle-bells-bonanza,netent-jingle-bells-bonanza.jpg
The Wish Master Megaways,netent-the-wish-master-megaways,netent-the-wish-master-megaways.jpg
Mayhem,redtiger-mayhem,redtiger-mayhem.jpg
Monkey Mania,gamomat-monkey-mania,gamomat-monkey-mania.jpg
Space Wars 2 Powerpoints,netent-space-wars-2-powerpoints,netent-space-wars-2-powerpoints.jpg
Buster's Bones,netent-busters-bones,netent-busters-bones.jpg
Fishtastic,redtiger-fishtastic,redtiger-fishtastic.jpg
Lady Fortuna,onetouch-lady-fortuna,onetouch-lady-fortuna.jpg
Shoguns Secret,gamomat-shoguns-secret,gamomat-shoguns-secret.jpg
Cannonball Cash,redtiger-cannonball-cash,redtiger-cannonball-cash.jpg
Viking’s Legacy EveryWay,redtiger-vikings-legacy-everyway,redtiger-vikings-legacy-everyway.jpg
Good Old 7’s,netent-good-old-7s,netent-good-old-7s.jpg
Sea Treasure Deep Dive,onetouch-sea-treasure-deep-dive,onetouch-sea-treasure-deep-dive.jpg
Maaax Diamonds,gamomat-maaax-diamonds,gamomat-maaax-diamonds.jpg
Play with the Devil,redtiger-play-with-the-devil,redtiger-play-with-the-devil.jpg
Genie's Secret Feature Buy,onetouch-genies-secret-feature-buy,onetouch-genies-secret-feature-buy.jpg
Flexing Dragons,onetouch-flexing-dragons,onetouch-flexing-dragons.jpg
Zaida's Fortune,redtiger-zaidas-fortune,redtiger-zaidas-fortune.jpg
Fa Fa Babies 2,redtiger-fa-fa-babies-2,redtiger-fa-fa-babies-2.jpg
Dynamite Riches,redtiger-dynamite-riches,redtiger-dynamite-riches.jpg
Gonzo's Gold,netent-gonzos-gold,netent-gonzos-gold.jpg
Jelly Belly MegaWays,netent-jelly-belly-megaways,netent-jelly-belly-megaways.jpg
Monsters Unchained,redtiger-monsters-unchained,redtiger-monsters-unchained.jpg
Ms Robin Hood,netent-ms-robin-hood,netent-ms-robin-hood.jpg
Milkshake XXXtreme,netent-milkshake-xxxtreme,netent-milkshake-xxxtreme.jpg
Vault Cracker MegaWays,redtiger-vault-cracker-megaways,redtiger-vault-cracker-megaways.jpg
Royal Seven Ultra,gamomat-royal-seven-ultra,gamomat-royal-seven-ultra.jpg
Phantom's Mirror,gamomat-phantoms-mirror,gamomat-phantoms-mirror.jpg
Wilds Gone Wild,gamomat-wilds-gone-wild,gamomat-wilds-gone-wild.jpg
Giga Blast,redtiger-giga-blast,redtiger-giga-blast.jpg
Gems Inferno Megaways,redtiger-gems-inferno-megaways,redtiger-gems-inferno-megaways.jpg
London Tube,redtiger-london-tube,redtiger-london-tube.jpg
Take 5,gamomat-take-5,gamomat-take-5.jpg
Cake & Ice Cream,redtiger-cake-and-ice-cream,redtiger-cake-and-ice-cream.jpg
Land Of Heroes,gamomat-land-of-heroes,gamomat-land-of-heroes.jpg
Here Kitty Kitty,redtiger-here-kitty-kitty,redtiger-here-kitty-kitty.jpg
Purr Power,redtiger-purr-power,redtiger-purr-power.jpg
Wild Voodoo,onetouch-wild-voodoo,onetouch-wild-voodoo.jpg
Gladiator Clash,netent-gladiator-clash,netent-gladiator-clash.jpg
Colosseum Clash,onetouch-colosseum-clash,onetouch-colosseum-clash.jpg
King of the Jungle,gamomat-king-of-the-jungle,gamomat-king-of-the-jungle.jpg
Grand Heist Feature Buy,onetouch-grand-heist-feature-buy,onetouch-grand-heist-feature-buy.jpg
Magic Lab,netent-magic-lab,netent-magic-lab.jpg
Bubbles Bonanza,onetouch-bubbles-bonanza,onetouch-bubbles-bonanza.jpg
Reel Fruitz Frenzy,onetouch-reel-fruitz-frenzy,onetouch-reel-fruitz-frenzy.jpg
Queens of Glory Legacy,onetouch-queens-of-glory-legacy,onetouch-queens-of-glory-legacy.jpg
Babylon Riches,netent-babylon-riches,netent-babylon-riches.jpg
Dragons Playground,netent-dragons-playground,netent-dragons-playground.jpg
Nightmare Family Megaways,redtiger-nightmare-family-megaways,redtiger-nightmare-family-megaways.jpg
Casino Night,netent-casino-night,netent-casino-night.jpg
Spooky Carnival,redtiger-spooky-carnival,redtiger-spooky-carnival.jpg
Wrigley's World,redtiger-wrigleys-world,redtiger-wrigleys-world.jpg
