name,slug,image
Piggy Bank Bills,pragmatic-play-piggy-bank-bills,pragmatic-play-piggy-bank-bills.jpg
Pirate Gold,pragmatic-play-pirate-gold,pragmatic-play-pirate-gold.jpg
Pirate Gold Deluxe,pragmatic-play-pirate-gold-deluxe,pragmatic-play-pirate-gold-deluxe.jpg
Wild Pixies,pragmatic-play-wild-pixies,pragmatic-play-wild-pixies.jpg
Power of Thor Megaways,pragmatic-play-power-of-thor-megaways,pragmatic-play-power-of-thor-megaways.jpg
Pyramid King,pragmatic-play-pyramid-king,pragmatic-play-pyramid-king.jpg
Release the Kraken,pragmatic-play-release-the-kraken,pragmatic-play-release-the-kraken.jpg
Rise of Giza PowerNudge,pragmatic-play-rise-of-giza-powernudge,pragmatic-play-rise-of-giza-powernudge.jpg
Santa,pragmatic-play-santa,pragmatic-play-santa.jpg
Santa's Wonderland,pragmatic-play-santa-s-wonderland,pragmatic-play-santa-s-wonderland.jpg
Smugglers Cove,pragmatic-play-smugglers-cove,pragmatic-play-smugglers-cove.jpg
Spartan King,pragmatic-play-spartan-king,pragmatic-play-spartan-king.jpg
Star Bounty,pragmatic-play-star-bounty,pragmatic-play-star-bounty.jpg
Star Pirates Code,pragmatic-play-star-pirates-code,pragmatic-play-star-pirates-code.jpg
Starz Megaways,pragmatic-play-starz-megaways,pragmatic-play-starz-megaways.jpg
Street Racer,pragmatic-play-street-racer,pragmatic-play-street-racer.jpg
Super 7s ,pragmatic-play-super-7s,pragmatic-play-super-7s.jpg
Super Joker,pragmatic-play-super-joker,pragmatic-play-super-joker.jpg
Super X,pragmatic-play-super-x,pragmatic-play-super-x.jpg
Temujin Treasures,pragmatic-play-temujin-treasures,pragmatic-play-temujin-treasures.jpg
Amazing Money Machine,pragmatic-play-amazing-money-machine,pragmatic-play-amazing-money-machine.jpg
Egyptian Fortunes,pragmatic-play-egyptian-fortunes,pragmatic-play-egyptian-fortunes.jpg
The Champions,pragmatic-play-the-champions,pragmatic-play-the-champions.jpg
Emerald King,pragmatic-play-emerald-king,pragmatic-play-emerald-king.jpg
The Great Chicken Escape,pragmatic-play-the-great-chicken-escape,pragmatic-play-the-great-chicken-escape.jpg
Emerald King Rainbow Road,pragmatic-play-emerald-king-rainbow-road,pragmatic-play-emerald-king-rainbow-road.jpg
The Magic Cauldron,pragmatic-play-the-magic-cauldron,pragmatic-play-the-magic-cauldron.jpg
The Wild Machine,pragmatic-play-the-wild-machine,pragmatic-play-the-wild-machine.jpg
Treasure Horse,pragmatic-play-treasure-horse,pragmatic-play-treasure-horse.jpg
Treasure Wild,pragmatic-play-treasure-wild,pragmatic-play-treasure-wild.jpg
Tree of Riches,pragmatic-play-tree-of-riches,pragmatic-play-tree-of-riches.jpg
Triple Dragons,pragmatic-play-triple-dragons,pragmatic-play-triple-dragons.jpg
Triple Jokers,pragmatic-play-triple-jokers,pragmatic-play-triple-jokers.jpg
Empty the Bank,pragmatic-play-empty-the-bank,pragmatic-play-empty-the-bank.jpg
Ultra Burn,pragmatic-play-ultra-burn,pragmatic-play-ultra-burn.jpg
Extra Juicy,pragmatic-play-extra-juicy,pragmatic-play-extra-juicy.jpg
Ultra Hold and Spin,pragmatic-play-ultra-hold-and-spin,pragmatic-play-ultra-hold-and-spin.jpg
Vampires vs Wolves,pragmatic-play-vampires-vs-wolves,pragmatic-play-vampires-vs-wolves.jpg
Eye of the Storm,pragmatic-play-eye-of-the-storm,pragmatic-play-eye-of-the-storm.jpg
Fairytale Fortune,pragmatic-play-fairytale-fortune,pragmatic-play-fairytale-fortune.jpg
Fire 88,pragmatic-play-fire-88,pragmatic-play-fire-88.jpg
Fishin Reels,pragmatic-play-fishin-reels,pragmatic-play-fishin-reels.jpg
Vegas Magic,pragmatic-play-vegas-magic,pragmatic-play-vegas-magic.jpg
Vegas Nights,pragmatic-play-vegas-nights,pragmatic-play-vegas-nights.jpg
Voodoo Magic,pragmatic-play-voodoo-magic,pragmatic-play-voodoo-magic.jpg
Wild Booster,pragmatic-play-wild-booster,pragmatic-play-wild-booster.jpg
Wild Depths,pragmatic-play-wild-depths,pragmatic-play-wild-depths.jpg
Aztec Gems Deluxe,pragmatic-play-aztec-gems-deluxe,pragmatic-play-aztec-gems-deluxe.jpg
Wild Spells,pragmatic-play-wild-spells,pragmatic-play-wild-spells.jpg
Wild Walker,pragmatic-play-wild-walker,pragmatic-play-wild-walker.jpg
Wild Wild Riches,pragmatic-play-wild-wild-riches,pragmatic-play-wild-wild-riches.jpg
Wolf Gold,pragmatic-play-wolf-gold,pragmatic-play-wolf-gold.jpg
Yum Yum Powerways,pragmatic-play-yum-yum-powerways,pragmatic-play-yum-yum-powerways.jpg
Queen of Atlantis,pragmatic-play-queen-of-atlantis,pragmatic-play-queen-of-atlantis.jpg
Fruit Rainbow,pragmatic-play-fruit-rainbow,pragmatic-play-fruit-rainbow.jpg
Return of the Dead,pragmatic-play-return-of-the-dead,pragmatic-play-return-of-the-dead.jpg
Gold Train,pragmatic-play-gold-train,pragmatic-play-gold-train.jpg
Great Rhino,pragmatic-play-great-rhino,pragmatic-play-great-rhino.jpg
Great Rhino Deluxe,pragmatic-play-great-rhino-deluxe,pragmatic-play-great-rhino-deluxe.jpg
Great Rhino Megaways,pragmatic-play-great-rhino-megaways,pragmatic-play-great-rhino-megaways.jpg
Greek Gods,pragmatic-play-greek-gods,pragmatic-play-greek-gods.jpg
Heart of Rio,pragmatic-play-heart-of-rio,pragmatic-play-heart-of-rio.jpg
Hercules and Pegasus,pragmatic-play-hercules-and-pegasus,pragmatic-play-hercules-and-pegasus.jpg
Hercules Son of Zeus,pragmatic-play-hercules-son-of-zeus,pragmatic-play-hercules-son-of-zeus.jpg
Honey Honey Honey,pragmatic-play-honey-honey-honey,pragmatic-play-honey-honey-honey.jpg
Hot Chilli,pragmatic-play-hot-chilli,pragmatic-play-hot-chilli.jpg
Hot Safari,pragmatic-play-hot-safari,pragmatic-play-hot-safari.jpg
Hot to Burn,pragmatic-play-hot-to-burn,pragmatic-play-hot-to-burn.jpg
Hot to Burn Hold and Spin,pragmatic-play-hot-to-burn-hold-and-spin,pragmatic-play-hot-to-burn-hold-and-spin.jpg
Jade Butterfly,pragmatic-play-jade-butterfly,pragmatic-play-jade-butterfly.jpg
John Hunter And The Mayan Gods,pragmatic-play-john-hunter-and-the-mayan-gods,pragmatic-play-john-hunter-and-the-mayan-gods.jpg
John Hunter and the Quest for Bermuda Riches,pragmatic-play-bermuda-riches,pragmatic-play-bermuda-riches.jpg
Book of Tut,pragmatic-play-book-of-tut,pragmatic-play-book-of-tut.jpg
John Hunter and the Tomb of the Scarab Queen,pragmatic-play-john-hunter-and-the-tomb-of-the-scarab-queen,pragmatic-play-john-hunter-and-the-tomb-of-the-scarab-queen.jpg
Joker King,pragmatic-play-joker-king,pragmatic-play-joker-king.jpg
Journey to the West,pragmatic-play-journey-to-the-west,pragmatic-play-journey-to-the-west.jpg
Juicy Fruits,pragmatic-play-juicy-fruits,pragmatic-play-juicy-fruits.jpg
Jungle Gorilla,pragmatic-play-jungle-gorilla,pragmatic-play-jungle-gorilla.jpg
Jurassic Giants,pragmatic-play-jurassic-giants,pragmatic-play-jurassic-giants.jpg
Lady Godiva,pragmatic-play-lady-godiva,pragmatic-play-lady-godiva.jpg
Leprechaun Carol,pragmatic-play-leprechaun-carol,pragmatic-play-leprechaun-carol.jpg
Leprechaun Song,pragmatic-play-leprechaun-song,pragmatic-play-leprechaun-song.jpg
Lucky Dragons,pragmatic-play-lucky-dragons,pragmatic-play-lucky-dragons.jpg
"Lucky, Grace & Charm",pragmatic-play-lucky-grace-charm,pragmatic-play-lucky-grace-charm.jpg
Lucky Lightning,pragmatic-play-lucky-lightning,pragmatic-play-lucky-lightning.jpg
Lucky New Year,pragmatic-play-lucky-new-year,pragmatic-play-lucky-new-year.jpg
Madame Destiny,pragmatic-play-madame-destiny,pragmatic-play-madame-destiny.jpg
Magic Crystals,pragmatic-play-magic-crystals,pragmatic-play-magic-crystals.jpg
Magician's Secrets,pragmatic-play-magician-s-secrets,pragmatic-play-magician-s-secrets.jpg
Magic Journey,pragmatic-play-magic-journey,pragmatic-play-magic-journey.jpg
Master Chen's Fortune,pragmatic-play-master-chen-s-fortune,pragmatic-play-master-chen-s-fortune.jpg
Master Joker,pragmatic-play-master-joker,pragmatic-play-master-joker.jpg
Mighty Kong,pragmatic-play-mighty-kong,pragmatic-play-mighty-kong.jpg
Fire Strike,pragmatic-play-fire-strike,pragmatic-play-fire-strike.jpg
Gold Party,pragmatic-play-gold-party,pragmatic-play-gold-party.jpg
Book Of Kingdoms,pragmatic-play-book-of-kingdoms,pragmatic-play-book-of-kingdoms.jpg
Gold Rush,pragmatic-play-gold-rush,pragmatic-play-gold-rush.jpg
Book of Vikings,pragmatic-play-book-of-vikings,pragmatic-play-book-of-vikings.jpg
Bounty Gold,pragmatic-play-bounty-gold,pragmatic-play-bounty-gold.jpg
Buffalo King,pragmatic-play-buffalo-king,pragmatic-play-buffalo-king.jpg
Caishen's Cash,pragmatic-play-caishen-s-cash,pragmatic-play-caishen-s-cash.jpg
Caishen's Gold,pragmatic-play-caishen-s-gold,pragmatic-play-caishen-s-gold.jpg
Cash Bonanza,pragmatic-play-cash-bonanza,pragmatic-play-cash-bonanza.jpg
Cash Elevator,pragmatic-play-cash-elevator,pragmatic-play-cash-elevator.jpg
Chicken Drop,pragmatic-play-chicken-drop,pragmatic-play-chicken-drop.jpg
Chilli Heat,pragmatic-play-chilli-heat,pragmatic-play-chilli-heat.jpg
Chilli Heat Megaways,pragmatic-play-chilli-heat-megaways,pragmatic-play-chilli-heat-megaways.jpg
Christmas Carol Megaways,pragmatic-play-christmas-carol-megaways,pragmatic-play-christmas-carol-megaways.jpg
Congo Cash,pragmatic-play-congo-cash,pragmatic-play-congo-cash.jpg
Cowboys Gold,pragmatic-play-cowboys-gold,pragmatic-play-cowboys-gold.jpg
Crystal Caverns Megaways,pragmatic-play-crystal-caverns-megaways,pragmatic-play-crystal-caverns-megaways.jpg
Curse of the Werewolf Megaways,pragmatic-play-curse-of-the-werewolf-megaways,pragmatic-play-curse-of-the-werewolf-megaways.jpg
Dance Party,pragmatic-play-dance-party,pragmatic-play-dance-party.jpg
Da Vinci's Treasure,pragmatic-play-da-vinci-s-treasure,pragmatic-play-da-vinci-s-treasure.jpg
Day of Dead,pragmatic-play-day-of-dead,pragmatic-play-day-of-dead.jpg
Diamond Strike,pragmatic-play-diamond-strike,pragmatic-play-diamond-strike.jpg
Drago - Jewels of Fortune,pragmatic-play-drago-jewels-of-fortune,pragmatic-play-drago-jewels-of-fortune.jpg
Dragon Hot Hold & Spin,pragmatic-play-dragon-hot-hold-spin,pragmatic-play-dragon-hot-hold-spin.jpg
The Dragon Tiger,pragmatic-play-the-dragon-tiger,pragmatic-play-the-dragon-tiger.jpg
Wild Gladiators,pragmatic-play-wild-gladiators,pragmatic-play-wild-gladiators.jpg
John Hunter and the Aztec Treasure,pragmatic-play-aztec-treasure,pragmatic-play-aztec-treasure.jpg
Joker's Jewels,pragmatic-play-jokers-jewels,pragmatic-play-jokers-jewels.jpg
Pixie Wings,pragmatic-play-pixie-wings,pragmatic-play-pixie-wings.jpg
Dragon Kingdom,pragmatic-play-dragon-kingdom,pragmatic-play-dragon-kingdom.jpg
Dwarven Gold Deluxe,pragmatic-play-dwarven-gold-deluxe,pragmatic-play-dwarven-gold-deluxe.jpg
Rock Vegas,pragmatic-play-rock-vegas,pragmatic-play-rock-vegas.jpg
Safari King,pragmatic-play-safari-king,pragmatic-play-safari-king.jpg
Gates of Valhalla,pragmatic-play-gates-of-valhalla,pragmatic-play-gates-of-valhalla.jpg
Triple Tigers,pragmatic-play-triple-tigers,pragmatic-play-triple-tigers.jpg
Aladdin's Treasure,pragmatic-play-aladdins-treasure,pragmatic-play-aladdins-treasure.jpg
888 Dragons,pragmatic-play-888-dragons,pragmatic-play-888-dragons.jpg
Dwarven Gold,pragmatic-play-dwarven-gold,pragmatic-play-dwarven-gold.jpg
Romeo and Juliet,pragmatic-play-romeo-and-juliet,pragmatic-play-romeo-and-juliet.jpg
Tales of Egypt,pragmatic-play-tales-of-egypt,pragmatic-play-tales-of-egypt.jpg
The Catfather,pragmatic-play-the-catfather,pragmatic-play-the-catfather.jpg
The Catfather Part II,pragmatic-play-the-catfather-part-ii,pragmatic-play-the-catfather-part-ii.jpg
Hockey League,pragmatic-play-hockey-league,pragmatic-play-hockey-league.jpg
Hockey League Wild Match,pragmatic-play-hockey-league-wild-match,pragmatic-play-hockey-league-wild-match.jpg
Colossal Cash Zone,pragmatic-play-colossal-cash-zone,pragmatic-play-colossal-cash-zone.jpg
The Ultimate 5,pragmatic-play-the-ultimate-5,pragmatic-play-the-ultimate-5.jpg
Elemental Gems Megaways,pragmatic-play-elemental-gems-megaways,pragmatic-play-elemental-gems-megaways.jpg
Might of Ra,pragmatic-play-might-of-ra,pragmatic-play-might-of-ra.jpg
Snakes and Ladders Megadice,pragmatic-play-snakes-and-ladders-megadice,pragmatic-play-snakes-and-ladders-megadice.jpg
Extra Juicy Megaways,pragmatic-play-extra-juicy-megaways,pragmatic-play-extra-juicy-megaways.jpg
Queenie,pragmatic-play-queenie,pragmatic-play-queenie.jpg
Rainbow Gold,pragmatic-play-rainbow-gold,pragmatic-play-rainbow-gold.jpg
Tic Tac Take,pragmatic-play-tic-tac-take,pragmatic-play-tic-tac-take.jpg
Barn Festival,pragmatic-play-barn-festival,pragmatic-play-barn-festival.jpg
Drill That Gold,pragmatic-play-drill-that-gold,pragmatic-play-drill-that-gold.jpg
Chicken Chase,pragmatic-play-chicken-chase,pragmatic-play-chicken-chase.jpg
Clover Gold,pragmatic-play-clover-gold,pragmatic-play-clover-gold.jpg
Eye of Cleopatra,pragmatic-play-eye-of-cleopatra,pragmatic-play-eye-of-cleopatra.jpg
North Guardians,pragmatic-play-north-guardians,pragmatic-play-north-guardians.jpg
Spirit of Adventure,pragmatic-play-spirit-of-adventure,pragmatic-play-spirit-of-adventure.jpg
Fire Strike 2,pragmatic-play-fire-strike-2,pragmatic-play-fire-strike-2.jpg
Goblin Heist Powernudge,pragmatic-play-goblin-heist-powernudge,pragmatic-play-goblin-heist-powernudge.jpg
The Great Stick-up,pragmatic-play-the-great-stick-up,pragmatic-play-the-great-stick-up.jpg
Little Gem Hold and Spin,pragmatic-play-little-gem-hold-and-spin,pragmatic-play-little-gem-hold-and-spin.jpg
Cleocatra,pragmatic-play-cleocatra,pragmatic-play-cleocatra.jpg
Wild West Gold Megaways,pragmatic-play-wild-west-gold-megaways,pragmatic-play-wild-west-gold-megaways.jpg
Zombie Carnival,pragmatic-play-zombie-carnival,pragmatic-play-zombie-carnival.jpg
Fortune of Giza,pragmatic-play-fortune-of-giza,pragmatic-play-fortune-of-giza.jpg
Queen of Gods,pragmatic-play-queen-of-gods,pragmatic-play-queen-of-gods.jpg
Cash Patrol,pragmatic-play-cash-patrol,pragmatic-play-cash-patrol.jpg
Bomb Bonanza,pragmatic-play-bomb-bonanza,pragmatic-play-bomb-bonanza.jpg
Cosmic Cash,pragmatic-play-cosmic-cash,pragmatic-play-cosmic-cash.jpg
Shining Hot 5,pragmatic-play-shining-hot-5,pragmatic-play-shining-hot-5.jpg
Shining Hot 20,pragmatic-play-shining-hot-20,pragmatic-play-shining-hot-20.jpg
Three Star Fortune,pragmatic-play-three-star-fortune,pragmatic-play-three-star-fortune.jpg
Tropical Tiki,pragmatic-play-tropical-tiki,pragmatic-play-tropical-tiki.jpg
Shining Hot 40,pragmatic-play-shining-hot-40,pragmatic-play-shining-hot-40.jpg
Shining Hot 100,pragmatic-play-shining-hot-100,pragmatic-play-shining-hot-100.jpg
Irish Charms,pragmatic-play-irish-charms,pragmatic-play-irish-charms.jpg
Disco Lady,pragmatic-play-disco-lady,pragmatic-play-disco-lady.jpg
Koi Pond,pragmatic-play-koi-pond,pragmatic-play-koi-pond.jpg
Rise of Samurai 3,pragmatic-play-rise-of-samurai-3,pragmatic-play-rise-of-samurai-3.jpg
Aztec King,pragmatic-play-aztec-king,pragmatic-play-aztec-king.jpg
Hockey Attack,pragmatic-play-hockey-attack,pragmatic-play-hockey-attack.jpg
Hokkaido Wolf,pragmatic-play-hokkaido-wolf,pragmatic-play-hokkaido-wolf.jpg
Aztec King Megaways,pragmatic-play-aztec-king-megaways,pragmatic-play-aztec-king-megaways.jpg
Lady of the Moon,pragmatic-play-lady-of-the-moon,pragmatic-play-lady-of-the-moon.jpg
Bonanza Gold,pragmatic-play-bonanza-gold,pragmatic-play-bonanza-gold.jpg
Busy Bees,pragmatic-play-busy-bees,pragmatic-play-busy-bees.jpg
Candy Village,pragmatic-play-candy-village,pragmatic-play-candy-village.jpg
Lucky Dragon Ball,pragmatic-play-lucky-dragon-ball,pragmatic-play-lucky-dragon-ball.jpg
Lucky New Year: Tiger Treasures,pragmatic-play-lucky-new-year-tiger-treasures,pragmatic-play-lucky-new-year-tiger-treasures.jpg
